Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.36     0.00      491     0.00     0.04  void std::__fill_a<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00      0.36     0.00      491     0.00     0.04  void std::__fill_a1<double*, std::vector<double, std::allocator<double> >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00      0.36     0.00      490     0.00     0.04  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__fill_n_a<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&, std::random_access_iterator_tag)
  0.00      0.36     0.00      490     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.36     0.00      490     0.00     0.04  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::fill_n<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)
  0.00      0.36     0.00      489     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      0.36     0.00       21     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.36     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<double>::_M_max_size() const
  0.00      0.36     0.00       17     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.36     0.00       17     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.36     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.36     0.00       13     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.36     0.00       13     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      0.36     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.36     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.36     0.00       10     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.36     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.36     0.00        9     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.36     0.00        8     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.36     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.36     0.00        8     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.36     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.36     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.36     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.36     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.36     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.36     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      0.36     0.00        7     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.36     0.00        7     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
